model_name,model_label,model_inference_ms_mean,model_inference_ms_p95,end_to_end_ms_mean,end_to_end_ms_p95
lightgbm,LightGBM,1.6333055938594043,1.9117100466974057,22.007466602139175,24.990305004175745
xgboost,XGBoost,0.8267302019521594,1.2819329835474487,20.824843199923635,23.31398701062426
random_forest,Random Forest,77.4264948060736,88.63954000640659,98.96914820512757,113.60671697417274
isolation_forest,Isolation Forest,41.54997240146622,46.98473193217068,62.04965340765193,69.6623139292933
