ratio_name,ratio_label,model_name,normal_count,negative_count,dataset_positive_rate,test_normal_count,test_negative_count,test_positive_rate,score_kind,best_validation_threshold,precision,recall,f1,accuracy,auroc,auprc,tn,fp,fn,tp,fit_seconds,embedding_device,model_device_type,output_dir
8_2,8:2,random_forest,100000,25000,0.2,20101,5035,0.20031031190324633,probability,0.33,0.9065784351887894,0.9251241310824231,0.9157573970313575,0.9659054742202419,0.991885600359693,0.9669611390894064,19621,480,377,4658,389.47282660007477,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_8_2/random_forest
8_2,8:2,xgboost,100000,25000,0.2,20101,5035,0.20031031190324633,probability,0.57,0.9152840132734725,0.9312810327706058,0.9232132309509746,0.968968809675366,0.992887052460546,0.9750320273456579,19667,434,346,4689,37.55367359984666,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_8_2/xgboost
10_1,10:1,isolation_forest,100000,10000,0.09090909090909091,19892,2038,0.09293205654354765,anomaly_score,0.470415250772081,0.632183908045977,0.8096172718351324,0.7099827882960413,0.938531691746466,0.9683955528647631,0.7314214628199363,18932,960,388,1650,1.0165192999411374,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_10_1/isolation_forest
10_1,10:1,lightgbm,100000,10000,0.09090909090909091,19892,2038,0.09293205654354765,probability,0.2,0.39100104638995464,0.5500490677134445,0.45708460754332314,0.8785681714546284,0.8771394726814297,0.43307559400134416,18146,1746,917,1121,4.110716399969533,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_10_1/lightgbm
10_1,10:1,random_forest,100000,10000,0.09090909090909091,19892,2038,0.09293205654354765,probability,0.18,0.8245203556387459,0.8645731108930323,0.8440718562874252,0.9703146374829001,0.9891023647421295,0.9122705795020599,19517,375,276,1762,276.2904335001949,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_10_1/random_forest
10_1,10:1,xgboost,100000,10000,0.09090909090909091,19892,2038,0.09293205654354765,probability,0.51,0.8861386138613861,0.8783120706575074,0.8822079842286841,0.978203374373005,0.9924247955643497,0.9503550619353371,19662,230,248,1790,35.46761659998447,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_10_1/xgboost
100_1,100:1,isolation_forest,100000,1000,0.009900990099009901,19847,198,0.009877775006235968,anomaly_score,0.48320524446497015,0.26903553299492383,0.5353535353535354,0.3581081081081081,0.981042654028436,0.9713579081997483,0.2957029883152913,19559,288,92,106,0.975214600097388,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_100_1/isolation_forest
100_1,100:1,lightgbm,100000,1000,0.009900990099009901,19847,198,0.009877775006235968,probability,0.23,0.610062893081761,0.4898989898989899,0.5434173669467787,0.9918682963332501,0.9707708413810091,0.5377475114405387,19785,62,101,97,13.602698100032285,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_100_1/lightgbm
100_1,100:1,random_forest,100000,1000,0.009900990099009901,19847,198,0.009877775006235968,probability,0.03,0.31601731601731603,0.3686868686868687,0.34032634032634035,0.9858817660264405,0.9377324919472347,0.2788234063754109,19689,158,125,73,122.89837849978358,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_100_1/random_forest
100_1,100:1,xgboost,100000,1000,0.009900990099009901,19847,198,0.009877775006235968,probability,0.04,0.6369426751592356,0.5050505050505051,0.5633802816901409,0.9922673983537041,0.9754826442487046,0.5899779977316874,19790,57,98,100,31.670484999893233,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_100_1/xgboost
