ratio_name,ratio_label,model_name,embedding_ms_mean,embedding_ms_median,embedding_ms_p95,model_inference_ms_mean,model_inference_ms_median,model_inference_ms_p95,end_to_end_ms_mean,end_to_end_ms_median,end_to_end_ms_p95
1_1,1:1,isolation_forest,16.05623899260536,15.846400056034327,19.00293993530795,42.00998001266271,41.698899934999645,45.96503981156275,62.70765600493178,62.430499936454,67.85845996346325
1_1,1:1,lightgbm,18.440521985758096,14.861500007100403,16.994884889572855,2.2245049895718694,1.3992000604048371,2.0824199658818445,25.04262001020834,20.531549933366477,32.65302008949216
1_1,1:1,random_forest,17.268929986748844,16.60685008391738,25.436520087532692,76.09234701376408,74.50029999017715,84.82738510938361,97.9527630051598,95.41505004744977,109.37086482299492
1_1,1:1,xgboost,14.829730000346899,14.774350100196898,16.290085017681122,0.8890850120224059,0.7426500087603927,1.607545022852718,20.165296010673046,20.01394995022565,21.85530991991982
7_3,7:3,isolation_forest,15.439054991584271,15.288249938748777,17.25114497821778,40.19708899082616,39.91275001317263,44.5524349459447,60.0490149972029,59.51709998771548,65.16398482490331
7_3,7:3,lightgbm,14.9905880051665,14.972149976529181,16.167685110121965,1.4718839945271611,1.382300048135221,1.887150027323514,20.841154004447162,20.69435000885278,22.31208492303267
7_3,7:3,random_forest,16.005387995392084,15.88720001745969,18.280200043227524,77.30709799332544,74.21435008291155,87.1144599863328,98.58933601062745,94.64284998830408,109.96874015545473
7_3,7:3,xgboost,15.485874011646956,15.585949993692338,17.254869954194874,0.7934790081344545,0.6952999392524362,1.1656900169327855,20.817899010144174,20.73114993982017,22.906875133048743
8_2,8:2,isolation_forest,15.329607012681663,15.168900019489229,17.098549916408956,40.91862100176513,40.34080007113516,44.26750998245552,60.62898701289669,59.81645011343062,65.00873992918059
8_2,8:2,lightgbm,15.935750002972782,15.672049950808287,17.96151496237144,1.8315860000438988,1.395900035277009,1.9726500730030234,22.276674003805965,21.47675002925098,24.529724952299148
8_2,8:2,random_forest,16.28121298039332,15.87519992608577,20.5840899143368,75.81340600503609,73.37399991229177,86.43478484591469,96.62977299652994,94.07350001856685,108.88362493133172
8_2,8:2,xgboost,15.059641003608704,14.964499976485968,16.19513009209186,0.7053079945035279,0.6858999840915203,0.806779961567372,20.05286699393764,19.916199962608516,21.18111002491787
10_1,10:1,isolation_forest,17.122973008081317,16.72194991260767,23.519284918438643,43.96436300128698,41.60139989107847,55.967924976721385,65.71477701188996,62.427149969153106,85.84493502276017
10_1,10:1,lightgbm,15.339792992454022,15.284000081010163,17.233275109902024,1.2753299879841506,1.1909499298781157,1.7033699783496552,21.09215999720618,20.85830003488809,22.88077005650848
10_1,10:1,random_forest,17.58096501696855,15.907499939203262,31.603945163078603,80.71308100828901,74.91464994382113,95.80453496892002,102.9737100074999,96.1515000090003,126.53159995097667
10_1,10:1,xgboost,15.785068986006081,15.530200093053281,18.741394975222647,0.8674379996955395,0.7521499646827579,1.1380998999811707,21.107095004990697,20.68974997382611,24.154469976201653
100_1,100:1,isolation_forest,16.171305996831506,15.484949923120439,18.004244891926646,40.65980900079012,40.31275014858693,44.170749944169074,61.14783201133832,60.2203500457108,64.43544990615919
100_1,100:1,lightgbm,14.927291993517429,14.765249914489686,16.903900040779263,1.3632229971699417,1.250100089237094,1.9129601889289913,20.784724995028228,20.69175010547042,22.57592499954626
100_1,100:1,random_forest,16.993504979182035,15.940950019285083,25.610075099393708,77.20654200995341,74.39890003297478,89.01653512148185,98.70015900582075,95.24299995973706,113.27875501010566
100_1,100:1,xgboost,16.39170200098306,16.142499982379377,19.850044930353757,0.8783409954048693,0.7675500819459558,1.6915500164031978,21.981058979872614,21.427150000818074,26.472169999033213
