Normal:Mismatch Ratio,Best Model,Precision,Recall,F1-score,AUROC,AUPRC,Test Mismatch Rate
1:1,LightGBM,0.9739130434782608,0.9657108482053338,0.9697946033024568,0.9953026135863204,0.9955147792834832,0.5000125328988595
7:3,LightGBM,0.9444507813391124,0.955458112162474,0.9499225606608156,0.9938504505162126,0.9874580810145904,0.3009759316500538
8:2,LightGBM,0.935674822415154,0.9418073485600794,0.938731069979214,0.9947259981581592,0.9830437070827224,0.2003103119032463
10:1,XGBoost,0.8861386138613861,0.8783120706575074,0.8822079842286841,0.9924247955643496,0.9503550619353373,0.0929320565435476
100:1,XGBoost,0.6369426751592356,0.5050505050505051,0.5633802816901409,0.9754826442487046,0.5899779977316874,0.0098777750062359
