label,projection_score
1,0.29898927
0,0.09778424
0,0.09427195
0,0.12831526
1,-0.4404721
1,0.18836226
1,0.009214312
0,-0.09165282
1,0.2008279
0,0.051049538
0,-0.07449826
0,-0.041517768
1,0.37825856
1,-0.18464059
1,-0.09283895
0,0.053340897
1,0.2652459
1,0.10438729
0,0.030036444
0,0.051150598
0,0.11676167
0,-0.12212851
1,-0.06488141
1,-0.048107408
0,0.0052512717
1,0.07151469
1,-0.14885893
1,0.17721117
1,0.08717203
0,0.087209284
0,-0.004289495
1,0.33566535
1,-0.10094441
1,0.15561281
1,-0.26181504
1,0.21546906
1,0.28045577
0,0.037240446
1,0.009877343
1,0.114632845
1,0.11227598
1,-0.10922424
0,-0.07136415
0,0.06789899
1,0.03505891
1,0.10633222
1,0.19169863
0,0.004696927
1,-0.05777332
0,0.1085933
1,0.009906724
1,0.102722056
1,0.04284391
1,0.056765415
0,0.06540469
1,-0.030405063
0,0.043056995
1,0.06429115
1,-0.10249383
1,0.044856895
0,0.05604101
1,0.20291299
1,0.23588158
1,0.016976478
0,0.07217101
1,-0.11348736
0,-0.00646547
0,0.17562652
1,0.0039537717
1,0.03419202
0,0.08879071
0,-0.047493488
0,-0.03404408
1,0.03349302
1,0.2875294
1,0.47941387
1,0.27995622
0,-0.008636652
0,0.23398903
0,-0.14145826
1,0.06897119
0,0.18308367
1,0.2581368
1,0.1637868
1,0.25690714
1,0.22647019
0,0.04359989
0,-0.14370735
0,0.06891786
1,-0.05339481
0,0.014240615
1,0.0644596
1,0.05942843
0,-0.007449138
1,0.21771063
1,0.19795682
1,-0.037119776
1,0.14155108
1,0.0053443667
0,0.12127498
1,0.266078
0,0.18767898
0,-0.05369595
1,0.115115665
0,-0.0033859054
0,0.01970569
1,0.070898704
1,0.4072114
1,0.17881507
0,0.13527146
1,-0.34451634
0,0.15910359
0,-0.11974063
1,0.1882039
1,-0.15796016
1,0.056105006
0,-0.014533153
1,-0.044208672
0,0.13544396
0,-0.10167843
0,-0.015578829
0,-0.0054599517
0,0.15502758
0,-0.055763155
0,0.0644872
0,-0.046601
0,0.08189888
0,0.044044092
1,0.12428671
1,-0.10120374
0,-0.05932842
1,0.07985241
0,0.046531398
1,0.10295463
1,0.057475947
0,0.03987963
0,-0.017676981
1,0.20346332
1,0.22756791
1,0.24547978
1,0.129976
1,-0.01151573
0,0.14536822
0,-0.055859957
0,-0.059549004
1,0.24142946
1,0.053648308
1,-0.084040195
0,0.021199776
0,0.052203696
0,-0.13180248
0,0.08360584
0,-0.080377296
1,-0.018592242
1,0.35099238
0,0.13369475
0,-0.037953988
1,0.15198639
0,0.059162006
0,-0.12159846
1,0.051941473
0,-0.0038282042
1,0.241098
0,0.028242026
0,-0.029034723
0,-0.07710618
1,-0.29371953
0,0.12288647
0,0.16813383
0,-0.120068625
0,-0.015751332
1,-0.1346888
1,-0.2179591
0,-0.055486836
0,0.06632893
0,-0.031975653
1,0.12628731
1,0.34340206
1,0.1716779
0,0.042314395
1,-0.22905251
0,0.027051032
1,0.18889219
1,0.043440357
1,0.01877405
0,0.049377106
1,0.106601626
0,-0.032069936
0,-0.07598338
1,0.1120031
0,0.16146274
0,-0.14309967
0,0.08764213
1,0.40605313
0,-0.08181528
1,0.1706113
0,-0.07547171
0,0.07431276
0,-0.014199725
1,0.025066955
1,0.17689839
0,0.070749804
1,-0.08819969
0,-0.029197568
1,-0.1904877
0,0.01051588
1,-0.050099157
0,0.014421967
1,-0.08442671
0,0.020816637
0,0.076381914
1,0.15219367
1,-0.15365843
0,0.058097154
0,0.06438968
1,-0.030678552
0,0.04702676
0,-0.072645
0,-0.08013234
1,0.16917674
0,-0.09578713
1,0.2080122
1,-0.26376635
1,0.054978367
0,0.010640022
0,-0.046653345
0,-0.06919303
1,0.08553144
1,-0.0017410778
0,0.019129515
1,0.21611571
0,0.041167952
0,0.0024722181
0,-0.050237127
0,-0.037951965
0,-0.039532084
1,0.10085743
0,-0.03913816
0,-0.08897223
1,-0.022422403
1,0.09019851
0,-0.03184241
0,-0.072810516
0,-0.028070075
1,0.108020715
1,0.03356917
1,-0.20922396
0,0.008239479
1,-0.0073722787
1,0.4632734
1,-0.06255474
1,0.14307171
0,-0.107088916
0,-0.0064718556
1,-0.20059381
1,0.087708265
0,0.025905445
1,0.061575066
1,-0.009639546
0,0.08393511
1,0.16178565
1,0.01369657
1,-0.062297903
0,-0.001076607
1,-0.14814152
0,-0.06448063
0,0.01949847
1,0.015891599
0,0.048330903
1,0.14904033
0,-0.04265351
1,0.027741753
0,-0.09868581
1,0.09538087
1,-0.08483058
0,0.06218461
1,0.28952977
1,0.07449249
1,-0.1488444
1,-0.24912043
0,0.2669476
1,0.22143011
0,-0.014715306
1,0.1844333
1,-0.29268092
1,0.01526363
1,0.2810425
0,-0.0015371656
1,0.05635095
0,-0.10284872
1,-0.06353718
0,0.11389564
1,-0.019634329
1,0.29409805
1,0.023631733
0,0.0075205
1,0.21539137
0,0.044535212
0,-0.07667737
0,0.10298421
1,-0.13984889
0,-0.038299926
1,0.082962096
0,0.05405424
1,-0.0637116
1,0.1418902
1,-0.12879321
0,0.03100904
1,0.05686083
1,0.08091918
1,-0.13912624
0,0.14960864
1,0.13523446
0,0.063416965
0,-0.0042147026
0,0.051524155
1,-0.011686064
1,0.06300722
1,0.21147521
1,-0.05703019
0,-0.04945375
0,-0.07310497
0,0.13296837
0,0.14363445
1,0.04891552
1,-0.009350985
0,-0.04600663
1,-0.054594353
0,0.05870979
0,-0.0651412
0,-0.1300991
0,0.021488605
0,0.07272031
0,-0.14065295
1,0.12338693
1,-0.11356027
1,-0.010862028
1,0.17908187
1,0.21510135
1,0.12530604
0,0.03243415
1,0.03687985
0,0.012951147
0,-0.04335843
1,0.064184174
0,0.05778817
1,0.04058882
1,0.16540031
1,0.08260885
0,-0.15612872
0,-0.055606868
0,-0.13912903
0,-0.08745177
1,0.1122693
1,0.05646408
1,0.29999006
1,-0.07026694
0,0.09246816
0,0.17982891
1,0.10376755
1,0.28526628
0,0.09877801
0,0.03869035
1,0.15756527
0,-0.05485315
1,-0.08418109
1,-0.15502998
1,0.12309942
1,0.08982689
1,0.12101797
1,-0.035797715
0,-0.04139378
0,0.018543463
0,0.003981781
0,0.15200908
1,0.20747201
0,0.17794155
1,0.07882521
0,0.041045077
1,0.2518647
1,0.45994297
1,0.17436542
0,-0.0052534896
0,-0.05877635
0,-0.031978227
0,5.3117285e-05
1,0.15935804
0,-0.063600786
1,-0.13457064
0,0.0071727554
1,-0.1474999
0,0.07692219
0,0.015394728
1,-0.1985011
1,0.009643735
1,-0.25206435
1,0.156731
1,0.14121616
0,0.08220695
0,0.05924354
0,-0.100600615
1,0.23723626
1,-0.028759427
1,-0.031886965
0,-0.11652138
0,0.008033203
1,-0.20889153
0,-0.055956423
0,-0.016614936
1,-0.1831176
0,0.14423002
1,0.06260762
0,-0.019241601
0,-0.06911813
0,-0.08265646
0,0.012515785
0,-0.11369497
0,-0.09549969
0,0.018543543
1,0.07505883
1,0.15959445
1,0.07370238
1,0.066585064
0,0.0637452
1,-0.0566727
0,-0.09020475
1,0.30721274
0,-0.04233964
1,0.052263223
1,-0.303948
0,-0.027988223
0,-0.062247723
0,-0.049985833
0,0.13527368
1,-0.05510307
1,-0.13378365
0,0.08331839
0,0.057768088
1,-0.06333383
0,-0.049882423
1,0.102893606
0,-0.10846023
1,0.27580717
0,0.036797695
1,0.10920226
1,0.004335804
0,-0.0709593
0,0.08111611
0,0.010291567
1,-0.05641807
0,-0.036305852
1,-0.017874673
0,-0.028137945
0,-0.11083267
0,0.026202787
1,-0.054192
1,0.30586708
0,0.04183481
1,-0.148709
0,-0.039926156
1,0.29721737
1,0.19006471
1,0.026792163
1,0.08581495
1,0.0030609062
1,-0.04186338
0,-0.13794748
1,-0.29952115
0,0.034699947
1,0.05403502
0,-0.014927901
0,-0.13139313
0,-0.051474363
1,-0.03462419
0,0.07249187
0,-0.08360915
0,0.046215113
1,-0.09167074
1,0.09456456
0,0.30438328
1,0.20250939
0,0.023275075
1,0.14173077
0,-0.0056668743
0,-0.011866053
0,-0.0081078755
0,-0.0964233
0,-0.14541799
0,-0.019641971
0,0.17269315
1,0.25041604
0,-0.059092883
0,0.05237617
0,-0.027189545
0,-0.009808701
1,-0.30100507
0,0.1162432
0,-0.020924713
1,0.17577112
0,0.015431693
0,0.01496436
1,0.06393822
1,-0.06801435
0,-0.12012533
0,-0.09132775
1,0.09785372
0,0.013622409
0,-0.19883224
0,0.13366096
0,0.06181497
1,0.04601864
1,-0.0338673
1,0.1388776
0,0.11149465
1,0.028732985
0,-0.11926753
1,-0.108673565
0,0.20254135
0,0.03496147
0,-0.022362655
1,0.17902847
1,-0.16474493
1,0.030686803
0,0.03872316
1,-0.101474725
1,-0.12915209
1,-0.276903
0,-0.040777903
0,0.03613204
0,-0.021536706
1,0.04373622
0,-0.098290876
0,0.13916756
0,0.04757581
0,-0.025384258
0,0.03896164
1,-0.14297363
0,-0.036721528
1,-0.10920059
1,0.08348991
0,-0.07916527
0,0.2928452
0,0.0044290153
0,-0.093030915
0,-0.025347816
0,0.1867462
0,0.0840496
1,0.27219903
1,-0.18238984
1,-0.07115254
0,-0.05437175
0,-0.05825571
1,-0.11956053
1,-0.028854
0,-0.053563572
1,0.014447845
1,0.015814796
0,0.056993794
1,-0.052937157
0,-0.06288334
0,0.0027307747
1,0.001732707
1,-0.25543067
1,-0.16807579
0,-0.010330645
0,-0.006821245
0,-0.04577917
0,-0.027211327
1,0.34259233
0,0.03946835
0,-0.052130323
1,0.023670321
0,-0.13708578
0,0.036775373
0,-8.278992e-05
0,0.08606614
0,0.028121889
1,0.068899155
1,0.019702576
