label,pca_x,pca_y
1,0.16426642,-0.58984196
0,0.13191192,-0.11415301
0,0.16487736,-0.26500952
0,0.017886471,0.0432754
1,-0.16854605,0.6501154
1,0.10771835,-0.11556934
1,-0.073257715,0.3587411
0,0.0053163543,0.06424398
1,-0.058441736,-0.29035962
0,-0.03909755,-0.01948233
0,-0.09176979,0.24283554
0,-0.1192946,0.13388278
1,0.05096617,-0.14182709
1,-0.0791536,-0.028406873
1,-0.14201693,-0.08483866
0,0.039623152,-0.10872792
1,-0.06383401,-0.16284455
1,-0.11685516,-0.14679633
0,0.09372449,-0.10381824
0,0.039364416,0.022132114
0,-0.011760462,-0.15326254
0,-0.2888582,0.16217048
1,-0.31029373,0.0072826073
1,-0.17285715,0.17706382
0,-0.22533073,0.12459034
1,-0.1842963,-0.1178437
1,-0.14723203,0.27173102
1,0.20005848,-0.39574468
1,-0.06106593,-0.036919817
0,0.28485626,-0.04085639
0,0.14964414,0.12746844
1,0.3791839,0.2316953
1,-0.23513049,-0.19388397
1,0.25458407,-0.067164674
1,0.038995545,0.07810119
1,-0.075674266,-0.49639618
1,0.00064652413,-0.22483642
0,-0.022837613,-0.116975084
1,-0.16899681,-0.04797782
1,0.31153658,-0.077087626
1,0.084184214,-0.13261585
1,-0.09325573,0.068814084
0,0.2477715,0.08410965
0,-0.26337984,0.10680841
1,-0.38808098,0.15092073
1,0.6267958,-0.09134923
1,0.35575604,0.46364844
0,-0.16903375,0.0716957
1,-0.04598874,0.14012958
0,-0.01543146,0.13715792
1,0.07419635,-0.082239464
1,0.058549445,0.19452159
1,-0.09252427,-0.062392876
1,0.1111311,0.22476499
0,-0.07475008,0.005474314
1,0.12881917,0.54516774
0,-0.3677252,-0.01738578
1,0.022626933,0.11951873
1,0.28773853,0.03170962
1,-0.11392246,-0.4994775
0,-0.0074731484,0.123538375
1,0.14643496,0.003642127
1,0.37742123,-0.14801158
1,0.06570274,0.004358813
0,0.18493253,-0.11225577
1,-0.11340009,-0.3003481
0,-0.27947852,-0.05982223
0,-0.17920634,0.10789894
1,0.07083456,0.033688292
1,0.09920332,-0.33555812
0,0.42647976,-0.061355844
0,-0.23527087,-0.1244259
0,0.18942583,0.021902978
1,0.5311824,0.29867548
1,0.09569304,-0.20343865
1,0.08216533,0.12366881
1,-0.2742246,-0.05484493
0,-0.23205242,0.09176676
0,-0.122489065,-0.22209664
0,0.10829267,0.13344201
1,0.15558174,-0.19928117
0,0.035304684,-0.27541846
1,0.11276561,-0.46141076
1,-0.3520819,-0.30848342
1,-0.25333992,-0.13929607
1,-0.25145832,-0.08682625
0,-0.16135994,0.024434209
0,-0.25590044,0.017061561
0,-0.01589422,0.025731713
1,0.055651065,0.04082291
0,0.09844151,-0.18309166
1,0.22625828,0.23784517
1,0.2580837,0.11146221
0,-0.06587674,0.046652287
1,-0.079501495,-0.037404373
1,-0.235455,0.16715059
1,-0.012844233,0.25057915
1,0.12243381,-0.061344936
1,0.33880553,0.29207727
0,0.18824157,-0.12651177
1,0.05670159,-0.22380672
0,-0.14295931,-0.052199185
0,-0.20010853,0.12562037
1,-0.14733349,-0.28535104
0,-0.07416731,0.0639704
0,-0.18829438,-0.13324599
1,-0.14007539,-0.31557387
1,0.4172612,-0.5594678
1,-0.11974527,0.3537855
0,0.20755374,-0.16003545
1,-0.6328052,0.16845082
0,-0.18561271,-0.17694522
0,-0.08759452,-0.045786187
1,0.13688569,-0.020683631
1,-0.1967531,0.13311164
1,0.17654967,0.27047822
0,-0.15904854,0.016925305
1,-0.42250246,0.018326104
0,0.05580171,-0.094915554
0,-0.13245389,0.09677154
0,-0.06555923,0.053060874
0,-0.2782504,-0.18328698
0,-0.046263658,0.08669665
0,0.21158585,0.14545663
0,-0.21501859,-0.11336966
0,-0.27569115,-0.061634526
0,0.22069836,0.058083124
0,-0.06285791,0.057221055
